week,date,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,09/12,68,61,51,38,49,41,38,40,14,25,20,24
2,09/20,83,77,66,56,62,57,49,56,20,42,32,34
3,09/27,95,91,79,71,73,77,62,65,24,50,40,51
4,10/04,113,103,98,85,91,95,78,77,29,54,46,60
5,10/11,123,127,113,102,102,102,91,89,34,59,57,
6,10/18,134,135,135,125,117,119,99,99,36,64,76,
7,10/24,149,149,154,137,132,130,108,111,38,72,83,
8,11/01,155,160,168,148,141,146,113,115,45,75,92,
9,11/08,167,176,178,161,147,154,118,126,48,92,101,
10,11/15,176,191,189,171,152,161,122,131,51,101,111,
11,11/22,184,201,200,175,155,170,124,134,55,106,120,
12,11/29,193,209,210,183,161,173,129,138,57,115,129,
13,12/06,196,213,216,185,166,179,141,144,59,121,135,
14,12/13,198,223,226,189,170,186,145,150,63,134,138,
15,12/20,201,231,235,193,174,190,149,156,69,143,142,
16,12/27,205,232,236,193,176,195,151,157,69,147,144,
17,01/03,205,234,238,201,178,198,153,158,73,148,145,